,Unnamed: 0.69,Unnamed: 0.68,Unnamed: 0.67,Unnamed: 0.66,Unnamed: 0.65,Unnamed: 0.64,Unnamed: 0.63,Unnamed: 0.62,Unnamed: 0.61,Unnamed: 0.60,Unnamed: 0.59,Unnamed: 0.58,Unnamed: 0.57,Unnamed: 0.56,Unnamed: 0.55,Unnamed: 0.54,Unnamed: 0.53,Unnamed: 0.52,Unnamed: 0.51,Unnamed: 0.50,Unnamed: 0.49,Unnamed: 0.48,Unnamed: 0.47,Unnamed: 0.46,Unnamed: 0.45,Unnamed: 0.44,Unnamed: 0.43,Unnamed: 0.42,Unnamed: 0.41,Unnamed: 0.40,Unnamed: 0.39,Unnamed: 0.38,Unnamed: 0.37,Unnamed: 0.36,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_name,localization_method,ratio,batch_size,epochs,lambda_l1,stop_loss,lr,prompt_len,ig_steps,momentum,weight_decay,step,assess_mem,seed,loss_weighting,model_path,results_path,perc,perp,total_time,unlearn_set_name,experiment,perc_diff,perp_diff
0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,EleutherAI/pythia-6.9b-deduped,act,0.001,32,1,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,42.17821955680847,22.90196078431373,10.007434606552124,,1,0.0,0.0
1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,EleutherAI/pythia-6.9b-deduped,act,0.01,32,1,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,10.8910895884037,25.37254901960784,10.007434606552124,mem,1,-74.17840368122972,10.787671232876672
2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,EleutherAI/pythia-6.9b-deduped,act,0.05,32,1,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,7.52475261688232,26.88235294117647,10.007434606552124,mem,1,-82.15962481121929,17.380136986301352
3,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,EleutherAI/pythia-6.9b-deduped,hc,0.001,32,1,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,37.22772300243377,23.392156862745097,3.3686490058898926,mem,1,-11.737092286949284,2.140410958904086
4,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,EleutherAI/pythia-6.9b-deduped,hc,0.001,32,10,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,40.39604067802429,23.274509803921568,27.57992672920227,mem,1,-4.225353505934078,1.6267123287671017
5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,EleutherAI/pythia-6.9b-deduped,hc,0.001,32,20,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,41.58416092395782,23.352941176470587,54.91298747062683,mem,1,-1.4084488133751967,1.969178082191758
6,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,EleutherAI/pythia-6.9b-deduped,hc,0.01,32,1,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,15.841585397720332,25.92156862745098,3.3686490058898926,mem,1,-62.44131316073261,13.184931506849297
7,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,EleutherAI/pythia-6.9b-deduped,hc,0.01,32,10,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,16.03960394859314,27.07843137254902,27.57992672920227,mem,1,-61.971832578210375,18.236301369862993
8,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,EleutherAI/pythia-6.9b-deduped,hc,0.01,32,20,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,19.801980257034298,26.862745098039216,54.91298747062683,mem,1,-53.05164498382002,17.294520547945186
9,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,EleutherAI/pythia-6.9b-deduped,hc,0.05,32,1,1000,0.1,0.1,32,1,0.9,0.0005,36000,0,0,0.05,../../model_ckpts/36000/EleutherAI/pythia-6.9b-deduped,../../model_ckpts/36000/EleutherAI_edit/localization_results_36000.csv,8.31683203577995,27.764705882352946,3.3686490058898926,mem,1,-80.28169011596546,21.232876712328764
