,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
2043,,,greedy,1.0,wiki_fast,1.0,0.0,-100.0,381.9288940429688,319.2064867401524,1.0,2.0,10,0.0,20000.0,5.0,0.05
2044,,,durable,0.001,wiki_fast,1.0,100.0,0.0,91.06285095214844,-0.049097055491396376,1.0,2.0,10,0.0,20000.0,5.0,0.05
2045,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,91.12610626220705,0.020332193541395507,1.0,2.0,10,0.0,20000.0,5.0,0.05
2046,,,obs,0.001,wiki_fast,1.0,100.0,0.0,91.07476043701172,-0.036025163350500974,1.0,2.0,10,0.0,20000.0,5.0,0.05
2047,,,random,1.0,wiki_fast,1.0,78.97436022758484,-21.02563977241516,147.8382568359375,62.267786545129056,1.0,2.0,10,0.0,20000.0,20.0,0.05
2048,,,random_greedy,5.0,wiki_fast,1.0,0.0,-100.0,91.68504333496094,0.6338234748572915,1.0,2.0,10,0.0,20000.0,20.0,0.5
2049,,,hc,0.1,wiki_fast,1.0,100.0,0.0,90.99870300292967,-0.11950606838100104,1.0,2.0,10,0.0,20000.0,10.0,0.05
2050,,,slim,5.0,wiki_fast,1.0,99.48718547821044,-0.512814521789565,114.32575988769533,25.484352961855464,1.0,2.0,10,0.0,20000.0,20.0,0.05
2051,,,zero,0.1,wiki_fast,1.0,100.0,0.0,91.09420776367188,-0.014679709752075361,1.0,2.0,10,0.0,20000.0,5.0,0.05
2052,,,act,5.0,wiki_fast,1.0,99.48718547821044,-0.512814521789565,101.94342803955078,11.89346232050119,1.0,2.0,10,0.0,20000.0,5.0,0.05
2053,,,ig,5.0,wiki_fast,1.0,21.02564126253128,-78.97435873746872,116.54289245605467,27.917885404977,1.0,2.0,10,0.0,20000.0,5.0,0.05
2055,,,greedy,1.0,wiki_fast,1.0,0.5128205288201501,-99.48717947117984,370.1441955566406,312.8780783711569,1.0,2.0,20,0.0,20000.0,5.0,0.05
2056,,,durable,5.0,wiki_fast,1.0,99.48718547821044,-0.512814521789565,709.405517578125,691.3077940965092,1.0,2.0,20,0.0,20000.0,5.0,0.05
2057,,,durable_agg,5.0,wiki_fast,1.0,98.97436499595642,-1.025635004043579,1536.6400146484375,1614.0481574813416,1.0,2.0,20,0.0,20000.0,5.0,0.05
2058,,,obs,0.001,wiki_fast,1.0,100.0,0.0,89.62103271484375,-0.032040990681901214,1.0,2.0,20,0.0,20000.0,5.0,0.05
2059,,,random,25.0,wiki_fast,1.0,0.0,-100.0,1780.3160400390625,1885.8570641618924,1.0,2.0,20,0.0,20000.0,1.0,0.05
2060,,,random_greedy,10.0,wiki_fast,1.0,0.0,-100.0,95.37281036376952,6.383790815988277,1.0,2.0,20,0.0,20000.0,10.0,0.5
2061,,,hc,0.1,wiki_fast,1.0,100.0,0.0,89.53731536865234,-0.1254236708286481,1.0,2.0,20,0.0,20000.0,10.0,0.05
2062,,,slim,0.1,wiki_fast,1.0,100.0,0.0,89.62024688720703,-0.032917543680635826,1.0,2.0,20,0.0,20000.0,1.0,0.05
2063,,,zero,0.1,wiki_fast,1.0,100.0,0.0,89.65147399902344,0.0019148002399542558,1.0,2.0,20,0.0,20000.0,5.0,0.05
2064,,,act,5.0,wiki_fast,1.0,82.56410360336304,-17.435896396636963,101.52557373046876,13.246902938265238,1.0,2.0,20,0.0,20000.0,5.0,0.05
2065,,,ig,5.0,wiki_fast,1.0,0.0,-100.0,111.4014892578125,24.263012535644005,1.0,2.0,20,0.0,20000.0,5.0,0.05
