,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
1,57.893385887145996,-35.41737798833394,greedy,5.0,mult,1.0,8.33333358168602,-91.52542361323431,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
2,67.34895467758179,-24.869274509148653,durable,5.0,mult,1.0,36.66666746139526,-62.71186420130545,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
3,89.42966222763062,-0.2372726387663541,durable_agg,0.01,mult,1.0,97.77777791023254,-0.5649732239775882,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
4,89.63966250419617,-0.003008080286114979,obs,0.001,mult,1.0,98.33333492279051,0.0,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
5,80.0767731666565,-10.6708323569595,random,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,50,0.0,3000.0,10.0,0.05
6,89.41795229911804,-0.2503355798143238,random_greedy,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,50,0.0,3000.0,1.0,0.7
7,87.30708956718445,-2.6050959353534555,hc,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,50,0.0,3000.0,1.0,0.05
8,88.32897782325745,-1.465134574158029,slim,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,50,0.0,3000.0,10.0,0.05
9,89.63464140892029,-0.008609333232673906,zero,0.1,mult,1.0,98.33333492279051,0.0,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
10,86.00952625274658,-4.0525849669312635,act,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
11,86.08993887901306,-3.9628811403619064,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
13,72.36371755599976,-22.60317107120423,greedy,1.0,mult,1.0,2.22222227603197,-97.72727267531879,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
14,70.31959056854248,-24.78947315877364,durable,5.0,mult,1.0,0.0,-100.0,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
15,68.78482699394226,-26.43098409604073,durable_agg,5.0,mult,1.0,0.55555556900799,-99.4318181688297,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
16,93.49207282066345,-0.005275976877145206,obs,0.001,mult,1.0,97.77777791023254,0.0,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
17,88.73090028762817,-5.0976021934599745,random,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,200,0.0,3000.0,10.0,0.05
18,91.91243529319763,-1.6947819836431202,random_greedy,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,200,0.0,3000.0,1.0,0.5
19,92.24554300308228,-1.3385056436823752,hc,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,200,0.0,3000.0,20.0,0.05
20,79.9375581741333,-14.50254735460186,slim,5.0,mult,1.0,26.66666805744171,-72.72727134183418,,,0.0,2.0,200,0.0,3000.0,20.0,0.05
21,93.48526239395142,-0.012560088984233308,zero,0.1,mult,1.0,97.77777791023254,0.0,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
22,89.29866790771484,-4.490344649938233,act,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
23,90.44586777687073,-3.2633536243392007,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,200,0.0,3000.0,5.0,0.05
25,90.64093232154846,-3.719176416442628,greedy,0.1,mult,1.0,5.55555559694767,-94.25287370939505,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
26,72.11488008499146,-23.397963046306828,durable,5.0,mult,1.0,1.11111113801598,-98.85057472261026,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
27,70.70250868797302,-24.898215502100093,durable_agg,5.0,mult,1.0,0.0,-100.0,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
28,94.11651253700256,-0.027337453582741134,obs,0.01,mult,1.0,96.11111283302309,-0.5747141320223637,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
29,89.57537055015564,-4.851039938817996,random,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,350,0.0,3000.0,20.0,0.05
30,93.66386771202087,-0.5081469005274031,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,2.0,350,0.0,3000.0,20.0,0.7
31,91.88961148262024,-2.392801511194275,hc,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,350,0.0,3000.0,20.0,0.05
32,91.63869261741638,-2.659333136318961,slim,1.0,mult,1.0,53.888893127441406,-44.25287101177113,,,0.0,2.0,350,0.0,3000.0,20.0,0.05
33,92.5552749633789,-1.6857188884165148,zero,1.0,mult,1.0,95.00000476837158,-1.7241362300696317,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
34,91.175217628479,-3.1516466254054176,act,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
35,90.99184393882751,-3.346430255835968,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,350,0.0,3000.0,5.0,0.05
37,90.4799747467041,-4.163775221859609,greedy,0.1,mult,1.0,1.11111113801598,-98.80952378576559,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
38,69.3334686756134,-26.56211601245738,durable,5.0,mult,1.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
39,86.27983212471008,-8.612558652099564,durable_agg,1.0,mult,1.0,17.77777820825576,-80.95238057224931,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
40,91.90722107887268,-2.652038501260371,obs,1.0,mult,1.0,87.22222447395325,-6.547617032921256,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
41,89.22496914863586,-5.493074869997203,random,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,10.0,0.05
42,93.286052942276,-1.1915822979699706,random_greedy,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,1.0,0.5
43,85.05542039871216,-9.909453326553509,hc,5.0,mult,1.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,1.0,0.05
44,85.03246188163757,-9.933770946105152,slim,5.0,mult,1.0,78.8888931274414,-15.476186294742211,,,0.0,2.0,500,0.0,3000.0,20.0,0.05
45,94.40913915634155,-0.002011421566320616,zero,0.1,mult,1.0,93.33333373069765,0.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
46,91.78750514984131,-2.778841395672014,act,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
47,91.77672028541565,-2.7902647044670568,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
49,86.9608461856842,-9.61234701417791,greedy,1.0,mult,1.0,55.55555820465088,-43.820223770965164,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
50,94.67449188232422,-1.5947349385693808,durable,1.0,mult,1.0,0.55555556900799,-99.43820225089468,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
51,93.94779682159424,-2.350066376300785,durable_agg,1.0,mult,1.0,1.11111113801598,-98.87640450178934,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
52,89.5824408531189,-6.8874449523511725,obs,5.0,mult,1.0,86.66666746139526,-12.359552458069702,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
53,95.32539248466492,-0.918184739793613,random,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,50,0.0,3000.0,10.0,0.05
54,96.07832789421082,-0.1355789177038076,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,4.0,50,0.0,3000.0,20.0,0.5
55,93.62579464912415,-2.6847574689306883,hc,1.0,mult,1.0,35.55555641651153,-64.04494405725872,,,0.0,4.0,50,0.0,3000.0,10.0,0.05
56,92.93556451797485,-3.4021870284529743,slim,5.0,mult,1.0,30.55555522441864,-69.10112488226159,,,0.0,4.0,50,0.0,3000.0,20.0,0.05
57,96.21460914611816,0.006072676619140569,zero,0.1,mult,1.0,98.88889193534852,0.0,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
58,93.25248837471008,-3.0727743692851277,act,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
59,92.69938707351685,-3.647671356505235,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,50,0.0,3000.0,5.0,0.05
61,93.32616209983826,-3.720553691379372,greedy,1.0,mult,1.0,63.88888955116272,-35.75419218760956,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
62,88.2232415676117,-8.984954930488257,durable,5.0,mult,1.0,13.33333402872085,-86.59217867886676,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
63,88.69979858398438,-8.493317380647026,durable_agg,5.0,mult,1.0,23.88888895511627,-75.97765465256853,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
64,96.93594098091125,0.003455784060770344,obs,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
65,59.781813621520996,-38.32640510119968,random,25.0,mult,1.0,0.0,-100.0,,,0.0,4.0,200,0.0,3000.0,1.0,0.05
66,96.83604598045349,-0.0996003699336899,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,4.0,200,0.0,3000.0,1.0,0.7
67,95.41535973548889,-1.565243893312887,hc,1.0,mult,1.0,29.444444179534912,-70.39106305977998,,,0.0,4.0,200,0.0,3000.0,1.0,0.05
68,95.93994975090027,-1.0240533515995502,slim,5.0,mult,1.0,13.88888955116272,-86.03351951958791,,,0.0,4.0,200,0.0,3000.0,20.0,0.05
69,96.93519115447998,0.0026822295503701496,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
70,95.01833438873291,-1.9748330127632436,act,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
71,94.04311895370483,-2.9809089083484377,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,200,0.0,3000.0,5.0,0.05
73,93.33466291427612,-3.750934311161064,greedy,1.0,mult,1.0,95.00000476837158,-4.469273274230821,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
74,86.04139566421509,-11.271936013198728,durable,5.0,mult,1.0,83.33333730697632,-16.201117117527488,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
75,96.96669220924377,-0.005493814780822851,durable_agg,0.001,mult,1.0,99.44444894790648,0.0,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
76,96.97393417358398,0.001974282062654173,obs,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
77,63.816702365875244,-34.190602009248735,random,25.0,mult,1.0,0.0,-100.0,,,0.0,4.0,350,0.0,3000.0,1.0,0.05
78,96.83319807052612,-0.14315634792042575,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,4.0,350,0.0,3000.0,10.0,0.5
79,96.88804984092712,-0.08659181457739558,hc,1.0,mult,1.0,98.88889193534852,-0.5586606577195485,,,0.0,4.0,350,0.0,3000.0,1.0,0.05
80,95.61020731925964,-1.4043353513052992,slim,5.0,mult,1.0,26.66666805744171,-73.18435735773353,,,0.0,4.0,350,0.0,3000.0,20.0,0.05
81,96.96618437767029,-0.0060175035471308706,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
82,96.04367971420288,-0.9573276511381146,act,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
83,95.12049198150635,-1.9093421969992732,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,350,0.0,3000.0,5.0,0.05
85,96.90189599990845,-0.062954268787754,greedy,0.01,mult,1.0,99.44444894790648,-0.5555510520935201,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
86,87.05447793006897,-10.218812003303531,durable,5.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
87,86.69812083244324,-10.586330875814536,durable_agg,5.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
88,96.96399569511414,0.0010905057300851031,obs,0.001,mult,1.0,100.0,0.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
89,61.42558932304383,-36.65044562957268,random,25.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,1.0,0.05
90,96.8928074836731,-0.0723274544542352,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,20.0,0.5
91,96.89690589904785,-0.0681006689976032,hc,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,1.0,0.05
92,95.73122978210449,-1.2702879554760895,slim,5.0,mult,1.0,45.55555582046509,-54.44444417953491,,,0.0,4.0,500,0.0,3000.0,20.0,0.05
93,96.96245670318604,-0.0004966903212563491,zero,0.1,mult,1.0,100.0,0.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
94,95.67320108413696,-1.3301342214615266,act,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
95,95.85291624069214,-1.1447900480176598,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
97,86.551114320755,-10.432902380545077,greedy,1.0,mult,1.0,82.77778029441833,-16.759777775247066,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
98,77.5020980834961,-19.79724305996074,durable,5.0,mult,1.0,26.111111044883728,-73.74301801545312,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
99,74.0790319442749,-23.339590278198155,durable_agg,5.0,mult,1.0,68.88889074325562,-30.72625825565915,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
100,91.99801445007324,-4.796198111226635,obs,5.0,mult,1.0,90.55556058883668,-8.938546548461643,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
101,95.40062665939331,-1.2750175660070386,random,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,50,0.0,3000.0,20.0,0.05
102,96.610187292099,-0.02330825970385187,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,50,0.0,3000.0,10.0,0.7
103,95.9268856048584,-0.7304204604527337,hc,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,50,0.0,3000.0,1.0,0.05
104,92.46626734733582,-4.31162834815829,slim,5.0,mult,1.0,0.55555556900799,-99.44134079389487,,,0.0,8.0,50,0.0,3000.0,10.0,0.05
105,96.1676025390625,-0.4813154395212527,zero,1.0,mult,1.0,98.88889193534852,-0.5586606577195485,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
106,96.20835542678833,-0.4391424657604885,act,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
107,89.39265608787537,-7.492343488348393,ig,1.0,mult,1.0,0.0,-100.0,,,0.0,8.0,50,0.0,3000.0,5.0,0.05
109,63.46367716789245,-34.57664381906161,greedy,5.0,mult,1.0,51.11111402511597,-48.60335135258249,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
110,97.01731324195862,0.013086590537258306,durable,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
111,97.00441479682922,-0.0002101424529881839,durable_agg,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
112,97.00295567512512,-0.001714320011219395,obs,0.001,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
113,91.45111441612244,-5.72498949656406,random,10.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,10.0,0.05
114,97.01776146888733,0.01354865815318554,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,20.0,0.7
115,96.64045691490173,-0.3754065887794351,hc,1.0,mult,1.0,0.55555556900799,-99.44134079389487,,,0.0,8.0,200,0.0,3000.0,1.0,0.05
116,94.64911580085754,-2.4282378269884157,slim,5.0,mult,1.0,0.0,-100.0,,,0.0,8.0,200,0.0,3000.0,1.0,0.05
117,97.00700998306274,0.0024651798871011513,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,8.0,200,0.0,3000.0,5.0,0.05
