,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
390,95.95190048217773,0.020369338151591417,greedy,0.001,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
391,94.4669258594513,-1.5275698842765113,durable,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
392,84.09739375114441,-12.33678185532362,durable_agg,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
393,95.76369881629944,-0.17581229073338267,obs,0.1,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
394,95.90169310569763,-0.03196688774705278,random,0.1,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,10.0,0.05
395,96.09186291694641,0.16626633809303826,random_greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,10.0,0.5
396,95.59962034225464,-0.3468478772296547,hc,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,1.0,0.05
397,94.1152560710907,-1.894150868500265,slim,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,20.0,0.05
398,94.60984706878662,-1.3785886543880017,zero,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
399,85.49288392066956,-10.882121327889978,act,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
400,81.63636803627014,-14.902157837617306,ig,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,500,0.0,3000.0,5.0,0.05
402,80.34367442131042,-16.848942742174184,greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
403,80.06917476654053,-17.13303401227635,durable,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
404,81.62329196929932,-15.524612572222175,durable_agg,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
405,90.01115560531616,-6.84365872622435,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
406,93.39837789535522,-3.338079517746966,random,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,1.0,0.05
407,96.66056275367737,0.03809317902988507,random_greedy,10.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,20.0,0.5
408,88.429696559906,-8.480377392416287,hc,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,10.0,0.05
409,88.03961515426636,-8.884089091304585,slim,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,20.0,0.05
410,84.7747254371643,-12.263061160513708,zero,5.0,mult,0.0,0.33057851251214,-33.33333176819427,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
411,83.50507974624634,-13.577071035006949,act,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
412,87.50815868377686,-9.434115807483666,ig,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,1500,0.0,3000.0,5.0,0.05
414,79.31720614433289,-18.092966541450537,greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
415,78.51009130477905,-18.926434907039848,durable,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
416,95.21592617034912,-1.6751291462529758,durable_agg,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
417,89.52746033668518,-7.549332033806619,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
418,92.24940896034241,-4.738507651204808,random,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,10.0,0.05
419,96.45719408988953,-0.39333194285911743,random_greedy,25.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,20.0,0.7
420,88.62578630447388,-8.480447093389605,hc,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,10.0,0.05
421,85.8882474899292,-11.307370710302822,slim,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,10.0,0.05
422,83.57870697975159,-13.69232122780802,zero,5.0,mult,0.0,0.49586775712668,-75.00000000000037,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
423,88.50038051605225,-8.609947571374862,act,5.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
424,89.03281569480896,-8.060127574921914,ig,1.0,mult,0.0,0.0,-100.0,,,0.0,2.0,2500,0.0,3000.0,5.0,0.05
426,77.7476954460144,-19.697399427753957,greedy,1.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
427,92.81634330749512,-4.1335733433584725,durable,1.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
428,80.81233739852905,-16.532048773976506,durable_agg,5.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
429,89.29468870162964,-7.770954767282379,obs,5.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
430,91.35936737060547,-5.638427680612287,random,5.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,10.0,0.05
431,96.37694358825684,-0.4559664316272658,random_greedy,10.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,1.0,0.5
432,87.15099811553955,-9.985090220400828,hc,1.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,10.0,0.05
433,94.70338463783264,-2.184521022976387,slim,1.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,20.0,0.05
434,96.81855201721191,0.00015390835555287741,zero,0.1,mult,0.0,1.48760331794619,0.0,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
435,77.66850113868713,-19.779196178029512,act,5.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
436,86.13256096839905,-11.036994729796213,ig,1.0,mult,0.0,0.0,-99.99999999999999,,,0.0,2.0,3500,0.0,3000.0,5.0,0.05
438,88.09914350509644,-9.15407206447923,greedy,1.0,mult,0.0,0.49586775712668,-97.0588236756359,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
439,95.0154983997345,-2.0220767540091806,durable,1.0,mult,0.0,1.81818176060915,-89.21568690273179,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
440,84.34613585472107,-13.024092237010594,durable_agg,5.0,mult,0.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
441,94.55927729606628,-2.492522071154728,obs,5.0,mult,0.0,2.31404956430196,-86.27451030216665,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
442,92.98397302627563,-4.1169417019953025,random,5.0,mult,0.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,10.0,0.05
443,96.64249062538147,-0.3443576230141437,random_greedy,50.0,mult,0.0,0.0,-100.0,,,0.0,4.0,500,0.0,3000.0,20.0,0.9
444,93.59288692474365,-3.4890428832518205,hc,1.0,mult,0.0,0.66115702502429,-96.07843147544747,,,0.0,4.0,500,0.0,3000.0,10.0,0.05
445,92.23553895950317,-4.888710695306417,slim,5.0,mult,0.0,2.64462810009717,-84.31372590178985,,,0.0,4.0,500,0.0,3000.0,1.0,0.05
446,86.86960697174072,-10.421943497268602,zero,5.0,mult,0.0,12.23140507936477,-27.450981605275228,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
447,91.43792867660522,-5.711189137183502,act,5.0,mult,0.0,0.16528925625607,-99.01960786886188,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
448,93.88581156730652,-3.186985338648508,ig,1.0,mult,0.0,1.32231405004858,-92.15686295089496,,,0.0,4.0,500,0.0,3000.0,5.0,0.05
450,82.55399942398071,-14.881108187856743,greedy,1.0,mult,0.0,0.0,-100.0,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
451,95.55832028388977,-1.47275258923683,durable,1.0,mult,0.0,2.14876029640436,-93.12169347186789,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
452,95.50209999084473,-1.5307196056713843,durable_agg,1.0,mult,0.0,4.62809912860393,-85.18518584767801,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
453,90.12625336647034,-7.073589853165139,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
454,92.52015948295593,-4.6053068243676964,random,10.0,mult,0.0,0.49586775712668,-98.41269850497423,,,0.0,4.0,1500,0.0,3000.0,1.0,0.05
455,96.9664978981018,-0.020823926389054958,random_greedy,25.0,mult,0.0,0.0,-100.0,,,0.0,4.0,1500,0.0,3000.0,10.0,0.9
456,92.32178807258606,-4.8098414893834605,hc,5.0,mult,0.0,1.15702478215098,-96.29629646191951,,,0.0,4.0,1500,0.0,3000.0,1.0,0.05
457,94.69677329063416,-2.3610672175006138,slim,1.0,mult,0.0,2.9752066358923903,-90.4761907317234,,,0.0,4.0,1500,0.0,3000.0,1.0,0.05
458,92.58760213851929,-4.5357687748186,zero,5.0,mult,0.0,24.62809979915619,-21.16402192115579,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
459,86.9112491607666,-10.388481888321806,act,5.0,mult,0.0,0.0,-100.0,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
460,93.55385541915894,-3.5394947113962605,ig,1.0,mult,0.0,0.9917355142533699,-96.82539700994842,,,0.0,4.0,1500,0.0,3000.0,5.0,0.05
462,95.75708031654358,-1.300486027784022,greedy,0.1,mult,0.0,3.47107425332069,-87.93103546539065,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
463,93.96285772323608,-3.149841682029296,durable,1.0,mult,0.0,0.66115702502429,-97.70114952764487,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
464,94.49000000953674,-2.6065013120003973,durable_agg,1.0,mult,0.0,1.6528924927115398,-94.25287406197859,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
465,76.08593821525574,-21.57608505667457,obs,5.0,mult,0.0,0.0,-100.0,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
466,95.16855835914612,-1.9070921499119036,random,5.0,mult,0.0,0.33057851251214,-98.85057476382245,,,0.0,4.0,2500,0.0,3000.0,10.0,0.05
467,96.982581615448,-0.037327395812988995,random_greedy,30.0,mult,0.0,0.0,-100.0,,,0.0,4.0,2500,0.0,3000.0,10.0,0.9
468,90.69620966911316,-6.51686764182681,hc,5.0,mult,0.0,1.15702478215098,-95.97701171385624,,,0.0,4.0,2500,0.0,3000.0,1.0,0.05
469,91.44432067871094,-5.745768598283731,slim,5.0,mult,0.0,0.33057851251214,-98.85057476382245,,,0.0,4.0,2500,0.0,3000.0,10.0,0.05
470,93.15789222717285,-3.979542242689755,zero,5.0,mult,0.0,21.48760259151458,-25.28736215807774,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
471,93.45651984214783,-3.671738366889879,act,5.0,mult,0.0,1.15702478215098,-95.97701171385624,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
472,88.39210271835327,-8.891775433796278,ig,1.0,mult,0.0,0.0,-100.0,,,0.0,4.0,2500,0.0,3000.0,5.0,0.05
474,95.85652947425842,-1.1389998439818871,greedy,0.1,mult,0.0,1.6528924927115398,-94.3181818763895,,,0.0,4.0,3500,0.0,3000.0,5.0,0.05
475,94.31561946868896,-2.728207226478671,durable,1.0,mult,0.0,0.49586775712668,-98.29545453090266,,,0.0,4.0,3500,0.0,3000.0,5.0,0.05
476,94.4209086894989,-2.619617882257593,durable_agg,1.0,mult,0.0,1.15702478215098,-96.02272718541579,,,0.0,4.0,3500,0.0,3000.0,5.0,0.05
