model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9711659550666808,1.0836498737335205,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0,0.9711170196533204,1.0836833715438845,1.1612160205841064,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9711),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0,0.971034824848175,1.0837541818618774,1.1615341901779177,tensor(0.9698),tensor(0.9675),tensor(0.9695),tensor(0.9710),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0,0.971015214920044,1.083825945854187,1.161937952041626,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9710),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0,0.9708695411682128,1.0851681232452393,1.1652337312698364,tensor(0.9698),tensor(0.9672),tensor(0.9694),tensor(0.9709),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0,0.9707741737365724,1.0865150690078735,1.1686702966690063,tensor(0.9700),tensor(0.9670),tensor(0.9690),tensor(0.9708),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0,0.9698138236999512,1.089810848236084,1.175323247909546,tensor(0.9699),tensor(0.9664),tensor(0.9678),tensor(0.9698),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.003154574194923,0.9682685136795044,1.0958502292633057,1.1857085227966309,tensor(0.9696),tensor(0.9652),tensor(0.9669),tensor(0.9683),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
4_layer_100_epoch.pth,random,mult,,,0.0047318614087998,0.966233253479004,1.1045767068862915,1.200097680091858,tensor(0.9685),tensor(0.9629),tensor(0.9654),tensor(0.9662),0,512,50,1e-07,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,mem
