model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,greedy,mult,ablate,1e-05,0.1624605655670166,0.9701808094978333,1.0826667547225952,1.1092973947525024,tensor(0.9707),tensor(0.9680),tensor(0.9695),tensor(0.9702),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,durable,mult,ablate,1e-05,0.1624605655670166,0.9702932238578796,1.0823997259140017,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9698),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,durable_agg,mult,ablate,1e-05,0.1577287167310714,0.970345675945282,1.0825231075286863,1.1089469194412231,tensor(0.9707),tensor(0.9683),tensor(0.9698),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,random,mult,ablate,1e-05,0.1624605655670166,0.9702870845794678,1.082387089729309,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9698),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,greedy,mult,ablate,1e-05,0.1624605655670166,0.9701808094978333,1.0826667547225952,1.1092973947525024,tensor(0.9707),tensor(0.9680),tensor(0.9695),tensor(0.9702),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,durable,mult,ablate,1e-05,0.1624605655670166,0.9702932238578796,1.0823997259140017,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9698),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067749,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,512,50,1e-07,mem
4_layer_4000_epoch.pth,durable_agg,mult,ablate,1e-05,0.15772871673107147,0.970345675945282,1.0825231075286865,1.1089469194412231,tensor(0.9707),tensor(0.9683),tensor(0.9698),tensor(0.9703),0,512,50,1e-07,mem
